id,Restricao,Hard,Soft
11,triglicerídeos elevados,"{ ""gorduras_ruins"": [ ""bombom de chocolate"", ""nuggets"", ""óleo de coco"", ""gordura animal"", ""manteiga"", ""creme de leite"", ""salames"", ""presuntos"", ""linguiças"", ""sorvete cremoso"", ""banha"" ], ""gorduras_saturadas_trans"": [ ""manteiga"", ""manteiga ghee"", ""manteiga clarificada"", ""banha"", ""banha de porco"", ""sebo"", ""margarina"", ""margarina hidrogenada"", ""óleos parcialmente hidrogenados"", ""gordura trans"", ""gordura animal"", ""gordura vegetal"", ""gordura ghee"", ""gordura de bacon"", ""gordura de toucinho"" ], ""oleos_refinados"": [ ""óleo de soja"", ""óleo de milho"", ""óleo de canola"", ""óleo de girassol"", ""óleo de semente de uva"", ""óleo de palma"", ""óleo de sésamo"", ""óleo de cártamo"", ""óleo de linho"", ""óleo de gérmen de trigo"", ""óleo vegetal refinado"", ""óleos vegetais refinados"", ""óleo de azeite refinado"" ] }","{ ""carboidratos_refinados"": [ ""farinha branca"", ""pão branco"", ""bolos industrializados"" ] }"
12,hiperuricemia,"{ ""carnes_ricas_em_purinas"": [ ""fígado"", ""rim"", ""vísceras"", ""carne de caça"", ""carne de órgão"", ""carne de veado"", ""carne de coelho"", ""carne de aves exóticas"" ], ""frutos_mar_peixes_purinas"": [ ""sardinha"", ""anchova"", ""bacalhau"", ""atum"", ""mexilhão"", ""lagosta"", ""marisco"", ""arenque"", ""badejo"", ""baiacu"", ""caranguejo"", ""cação"", ""peixe de água fria"" ], ""carnes_processadas_embutidos"": [ ""salame"", ""presunto"", ""bacon"", ""salsicha"", ""carne processada"" ], ""bebidas_acucares_acido_urico"": [ ""álcool"", ""frutose"" ] }","{ ""leguminosas_purinas"": [ ""feijão"", ""lentilha"", ""ervilha"", ""grão-de-bico"", ""feijão-preto"", ""feijão-mungo"", ""soja"", ""edamame"", ""tempeh"", ""proteína vegetal"" ], ""gorduras_saturadas_trans"": [ ""óleo de soja"", ""óleo de milho"", ""óleo de girassol"", ""óleo de canola"", ""margarina"", ""gordura trans"", ""óleos parcialmente hidrogenados"", ""manteiga"", ""creme de leite"", ""queijo gorduroso"" ], ""outros_alimentos_inflamatorios"": [ ""soja"", ""proteína de soja"", ""nozes"", ""amêndoa"", ""chia"", ""linhaça"", ""óleo de coco"", ""leite de coco"" ] }"
13,síndrome metabólica,,"{ ""acucares_adocantes_artificiais"": [ ""açúcar"", ""mel"", ""xilitol"", ""eritritol"", ""agave"", ""adoçantes artificiais"" ], ""carboidratos_refinados_ultraprocessados"": [ ""pão integral"", ""bolacha de arroz"", ""biscoitos de arroz"", ""torradas integrais"", ""farinha de trigo integral"" ], ""alimentos_ultraprocessados"": [ ""óleo de coco"", ""óleo de palma"", ""margarina"", ""gordura trans"", ""queijo curado"", ""queijo mussarela"", ""cream cheese"", ""presunto"", ""peito de peru"", ""sardinha enlatada"" ] }"
14,síndrome dos ovários policísticos,,"{ ""acucares_adocantes_artificiais"": [ ""açúcar"", ""mel"", ""agave"", ""xilitol"", ""eritritol"", ""adoçantes artificiais"" ], ""carboidratos_refinados"": [ ""farinha branca"", ""maisena"", ""semolina"", ""biscoitos"", ""bolachas"", ""barrinhas de cereal adoçadas"" ], ""laticinios_derivados"": [ ""leite integral"", ""queijo cottage"", ""queijo feta"", ""iogurte grego integral"" ], ""gorduras_inflamatorias"": [ ""óleo de soja"", ""óleo de girassol"", ""margarina"", ""chocolate com açúcar"", ""sobremesas industrializadas"" ] }"
15,refluxo gastroesofágico,"{ ""alimentos_acidos_citricos"": [ ""limão"", ""laranja"", ""suco de limão"", ""vinagre"", ""tomate"", ""molho de tomate"" ], ""bebidas_estimulantes"": [ ""café"", ""chá preto"", ""chá mate"", ""refrigerante"", ""álcool"" ] }","{ ""alimentos_gordurosos_ultraprocessados"": [ ""margarina"", ""manteiga"", ""queijo gorduroso"", ""maionese"", ""creme de leite"" ], ""alimentos_aumentam_acidez_gastrica"": [ ""alho"", ""cebola"", ""pimenta"", ""hortelã"", ""chocolate"" ] }"
16,insuficiência cardíaca,"{ ""alto_teor_de_sodio"": [ ""sal na comida"", ""carnes embutidas"", ""salsicha"", ""mortadela"", ""salame"", ""salgadinhos"", ""carnes processadas"", ""temperos prontos"", ""fast-food"", ""molho de soja"", ""caldo"", ""caldo de legumes"", ""camarão"", ""bacalhau"" ], ""alimentos_gordurosos"": [ ""manteiga"", ""queijo"", ""leite integral"", ""banha de porco"", ""frituras"", ""carnes gordas"", ""bolos"", ""tortas"" ], ""alimentos_ultraprocessados"": [ ""frituras"", ""fast-food"", ""margarina"", ""pipoca de micro-ondas"", ""macarrão instantâneo"", ""massa folhada"", ""salgadinhos"" ] }","{ ""gordura_ruim"": [ ""margarina"" ], ""alto_teor_de_acucar"": [ ""muito açúcar"", ""sucos industrializados"", ""balas"", ""refrigerante"", ""doces em geral"" ] }"
17,osteoporose,,"{ ""inibe_absorcao_de_calcio"": [ ""sal"", ""café"", ""chá preto"", ""chá verde"", ""refrigerante"" ], ""aumenta_eliminacao_de_calcio"": [ ""sal marinho"", ""margarina"", ""bebida alcoólica"", ""refrigerante"" ], ""pouco_nutritivo_prejudica_saude_ossea"": [ ""biscoito"", ""bolacha"", ""bolo"", ""muffin"", ""cookie"", ""pão de queijo"" ] }"
18,lúpus,,"{ ""inflamatorios"": [ ""tomate"", ""pimentão"", ""pimenta"", ""berinjela"" ], ""sementes_oleaginosas_problematicas"": [ ""semente de girassol"", ""linhaça"", ""gergelim"" ], ""chas"": [ ""chá verde"", ""chá de hibisco"" ], ""leguminosas_afetam_sistema_imunologico"": [ ""soja"", ""tofu"" ] }"
19,esteatose hepática alcoólica,"{ ""bebidas_alcoolicas"": [ ""bebidas alcoólicas"" ] }","{ ""alimentos_inflamatorios"": [ ""pimenta"", ""pimenta-do-reino"", ""pimentão"", ""pimentão vermelho"", ""pimentão amarelo"", ""berinjela"" ], ""oleaginosas_sementes"": [ ""semente de girassol"", ""sementes de gergelim"", ""sementes de chia"", ""linhaça"", ""nozes"", ""castanha-do-pará"", ""castanha de caju"", ""avelã"", ""noz-pecã"" ], ""laticinios_gordurosos"": [ ""queijo"", ""queijo cottage"", ""queijo minas"", ""queijo ricota"", ""queijo fresco"", ""queijo branco"" ], ""ultraprocessado"": [ ""óleo de coco"", ""biscoito integral"", ""bolacha integral"", ""bolo"", ""biscoito de aveia"", ""granola com açúcar"", ""pasta de amêndoas com açúcar"", ""manteiga de amêndoas"", ""pasta de amendoim com açúcar"" ], ""acucares_adocantes"": [ ""açúcar mascavo"", ""xarope de agave"", ""adoçante"", ""adoçante natural"" ], ""chas"": [ ""chá verde"", ""chá de hibisco"" ], ""leguminosas"": [ ""soja"", ""leite de soja"", ""tofu"", ""feijão"" ] }"
20,síndrome do intestino curto,"{ ""bebidas_restritas"": [ ""chá preto"", ""chá mate"", ""refrigerantes à base de cola"", ""cerveja"", ""sucos com bagaço"", ""limonada"", ""suco de tomate"", ""café instantâneo"" ], ""oleaginosas_e_sementes"": [ ""manteiga de amendoim"", ""nozes"" ], ""proteinas_e_leguminosas"": [ ""tofu"", ""feijões"", ""biscoitos de soja"" ], ""vegetais_restritos"": [ ""beterraba"", ""cenoura"", ""aipo"", ""couve"", ""alface"", ""alho-poró"", ""brócolis"", ""couve-flor"", ""cebola"", ""alho"", ""pimenta"", ""sopa de vegetais"" ], ""frutas_restritas"": [ ""amora"", ""uvas"", ""tangerina"" ], ""carboidratos_processados"": [ ""farinha de milho"", ""pipoca"", ""pretzels"", ""gérmen de aveia"", ""cereais matinais"" ], ""gorduras_e_frituras"": [ ""batata frita"" ] }","{ ""fibras_insoluveis"": [ ""farelo de trigo"", ""grãos integrais"", ""vegetais crus"", ""leguminosas"", ""folhas verdes"" ], ""acucares_adocantes_artificiais"": [ ""açúcar"", ""mel"", ""xilitol"", ""sorbitol"", ""adoçantes artificiais"" ], ""laticinios"": [ ""leite"", ""queijos envelhecidos"", ""creme de leite"" ], ""gorduras_dificeis_digerir"": [ ""frituras"", ""óleo de coco"", ""óleo de palma"", ""gordura animal"" ], ""alimentos_causam_gases"": [ ""feijão"", ""brócolis"", ""couve-flor"", ""cebola"", ""alho"" ], ""bebidas_alcoolicas_cafeinadas"": [ ""café"", ""álcool"", ""bebidas energéticas"" ] }"
21,alergia ao amendoim,"{ ""oleaginosas_derivados"": [ ""amendoim"", ""manteiga de amendoim"", ""pasta de amendoim"", ""óleo de amendoim"" ], ""oleos_gorduras"": [ ""óleo de amendoim"", ""produtos fritos em óleo de amendoim"" ] }","{ ""alimentos_industrializados"": [ ""barras de proteína"", ""barra de proteína"", ""proteína em barra"", ""barra de proteínas"", ""snacks proteicos"", ""chocolates"", ""cereais matinais"" ], ""embutidos_carnes_processadas"": [ ""linguiça"", ""salsicha"", ""frios industrializados"" ], ""alternativas_vegetais"": [ ""bebidas vegetais"", ""proteínas vegetais"" ] }"
22,alergia a oleaginosas,"{ ""oleaginosas_e_derivados"": [ ""amêndoa"", ""castanha-do-pará"", ""castanha de caju"", ""nozes"", ""pistache"", ""avelã"", ""macadâmia"", ""pecã"" ], ""oleos_vegetais"": [ ""óleo de amêndoa"", ""óleo de castanha"", ""óleo de nozes"" ], ""leites_cremes_vegetais"": [ ""leite de amêndoas"", ""leite de castanha"", ""leite de nozes"" ], ""manteigas_pastas"": [ ""manteiga de amêndoas"", ""manteiga de castanha"", ""pasta de nozes"", ""pasta de tahine"" ] }","{ ""produtos_industrializados"": [ ""barras de proteína"", ""barra de proteína"", ""proteína em barra"", ""barra de proteínas"", ""snacks proteicos"", ""chocolates"", ""cereais matinais"", ""granolas"" ] }"
23,alergia a ovos,"{ ""ovos_e_derivados"": [ ""ovos"", ""gemada"", ""suspiro"", ""merengue"", ""marshmallow"", ""marzipan"", ""torrone"", ""maionese"", ""molho holandês"", ""molho béarnaise"", ""molho tártaro"", ""molho ranch"", ""molho rosê"", ""salgados assados pincelados com ovos"", ""molho aioli"", ""molho de queijo"", ""creme de queijo"", ""creme de leite"" ] }","{ ""substitutos_potencial_contaminacao"": [ ""aquafaba"", ""maionese vegana"", ""veganese"" ], ""queijos_laticinios_processados"": [ ""queijo cottage"", ""queijo cremoso"", ""queijo feta"", ""queijo parmesão"" ], ""produtos_assados_processados"": [ ""biscoitos integrais"", ""bolachas de arroz"", ""muffins"", ""pão integral"" ] }"
24,doença celíaca,"{ ""paes_com_gluten"": [ ""pão de trigo"", ""pão francês"", ""pão integral"", ""pão de forma"", ""pão branco"", ""pão sírio"", ""pão rústico"", ""pão pita"", ""pão multigrãos"", ""pão caseiro"", ""pão artesanal"", ""pão sourdough"", ""pão de centeio"", ""ciabatta"", ""focaccia"", ""chapati"", ""baguete"" ], ""farinhas_derivados_gluten"": [ ""farinha de trigo"", ""farinha de centeio"", ""farinha de semolina"", ""farinha de espelta"", ""farinha de triticale"", ""farinha de kamut"" ], ""misturas_comerciais_gluten"": [ ""mistura de farinha"", ""mistura para pão"", ""mistura para bolo"", ""mistura para torta"", ""mistura para panqueca"", ""mistura para waffle"", ""misturas prontas para assados"" ], ""bebidas_alcoolicas"": [ ""cerveja"", ""whisky"", ""vodka"", ""gin"", ""ginger ale"" ], ""outras_bebidas_com_gluten"": [ ""ovomaltine"", ""bebidas contendo malte"", ""cafés misturados com cevada"", ""achocolatados"" ] }","{ ""podem_conter_contaminacao"": [ ""aveia"", ""queijos fundidos"", ""sopas instantâneas"", ""almôndegas prontas"", ""batata frita congelada"", ""molho shoyu"", ""molhos para salada"", ""temperos em pó"", ""temperos em cubos"", ""ketchup"", ""mostarda"", ""maionese"", ""sucos em pó"", ""hambúrguer vegetariano"", ""carnes embutidas"", ""mix de nuts"" ] }"
25,intolerância à lactose,"{ ""laticinios_derivados"": [ ""leite"", ""iogurte"", ""queijo"", ""requeijão"", ""creme de leite"", ""leite condensado"", ""iogurte grego"", ""iogurte natural"", ""iogurte de soja"", ""iogurte de origem vegetal sem certificação"", ""kefir"", ""manteiga"", ""cream cheese"", ""ricota"", ""queijo cottage"", ""queijo minas"", ""queijo parmesão"", ""queijo cheddar"", ""queijo muçarela"", ""queijo feta"" ] }","{ ""produtos_processados_risco_lactose"": [ ""pão de forma"", ""pão multigrãos"", ""biscoitos"", ""bolachas"", ""muffins"", ""waffles"", ""barras de cereais"", ""barrinhas de proteína"", ""bolos industrializados"", ""panquecas prontas"", ""cremes e molhos industrializados"", ""molho branco"", ""molho de queijo"", ""molho alfredo"", ""molho ranch"", ""molho cremoso"" ], ""substitutos_risco_contaminacao"": [ ""iogurte sem lactose"", ""queijo sem lactose"", ""bebidas vegetais sem certificação"", ""leite de amêndoas"", ""leite de coco"", ""leite de soja"", ""leite de aveia"", ""leite de arroz"" ] }"
26,fobia de água,"{ ""exercicios_aerobicos_na_agua"": [ ""aeróbica aquática"", ""marcha aquática"", ""hidrobicicleta"", ""hidroginástica"", ""hidrojump"" ], ""terapia_na_agua"": [ ""aquaterapia"", ""hidroterapia"", ""exercícios hidroterápicos"", ""exercícios funcionais e de mobilidade na água"", ""atividade aquática"", ""atividades aquáticas"", ""exercício aquático"", ""exercício em água rasa"", ""exercícios aquáticos"", ""exercícios na piscina"", ""exercícios na água"" ], ""natacao"": [ ""nadar"", ""natação"", ""natação adaptada"" ] }","{ ""pular"": [ ""pular"" ], ""agachamento"": [ ""agachamento"", ""agachamento assistido"", ""agachamento de parede"", ""agachamento em pé"", ""agachamento modificado"", ""agachamento na cadeira"", ""agachamento parcial"", ""agachamento à parede"", ""agachamentos"", ""agachamentos de cadeira"", ""agachamentos parciais"" ], ""rotacao_do_tronco"": [ ""rotação de tronco"", ""rotação do tronco"", ""rotações de tronco"", ""torção de tronco"" ] }"
27,fibrose pulmonar,"{ ""exercicios_alta_intensidade"": [ ""corrida intensa"", ""maratonas"", ""crossfit"", ""treino HIIT"", ""trilhas"", ""mergulho profundo"" ], ""levantamento_de_peso"": [ ""levantamento de peso"", ""levantamento de pesos"", ""levantamento de halteres"", ""levantamento de objetos pesados"", ""máquinas de musculação"" ], ""exercicios_isometricos_prolongados"": [ ""prancha"", ""prancha modificada"", ""exercícios isométricos"", ""fortalecimento isométrico"" ], ""alta_resistencia"": [ ""treinamento de força"", ""treino de força"", ""treinamento funcional"", ""treino de resistência"", ""exercícios de resistência com pesos"" ], ""alto_impacto"": [ ""agachamento profundo"", ""agachamento assistido com peso"", ""leg press"" ], ""controle_respiratorio_intenso"": [ ""exercícios de força com resistência elevada"", ""exercícios de resistência intensos"", ""exercícios de contração prolongada"" ], ""pressao_toracica_alta"": [ ""supino"", ""extensão de tríceps com carga"", ""rosca direta pesada"", ""pressão de ombro intensa"" ] }","{ ""atividades_moderadas"": [ ""caminhada"", ""pilates"", ""hidroginástica"" ] }"
28,síndrome da fadiga crônica,"{ ""exercicios_aerobicos_intensos"": [ ""exercícios aeróbicos intensos"", ""exercícios de resistência prolongados"", ""maratona"", ""ciclismo"", ""natação"" ], ""impacto_alto"": [ ""levantamento de peso"", ""musculação"", ""treinamento com pesos"", ""treinamento de força"" ], ""atividades_de_alto_risco"": [ ""subir escadas"", ""correr"", ""zumba"", ""step"", ""treinamento em intervalos"" ] }","{ ""atividades_moderadas"": [ ""yoga"", ""pilates"", ""caminhadas"" ], ""exercicios_de_forca_controlada"": [ ""agachamento"", ""leg press"", ""supino"", ""levantamento terra"", ""flexão"", ""flexão de joelho"", ""flexão de pernas"", ""flexão de tronco"", ""movimento de puxar"", ""movimento de empurrar"" ] }"
29,fibromialgia,"{ ""impacto_alto"": [ ""levantamento de peso"", ""musculação"", ""máquinas de musculação"", ""treinamento com pesos"", ""treinamento de força"" ], ""excesso_de_carga"": [ ""agachamento"", ""leg press"", ""supino"", ""levantamento terra"" ], ""movimentos_bruscos"": [ ""flexão"", ""flexão de joelho"", ""flexão de pernas"", ""flexão de tronco"", ""movimento de puxar"", ""movimento de empurrar"" ], ""atividades_de_alto_risco"": [ ""subir escadas"", ""correr"", ""zumba gold"", ""step"" ] }","{ ""atividades_moderadas"": [ ""yoga"", ""pilates"", ""caminhadas"" ] }"
30,asma,"{ ""alta_intensidade"": [ ""treinamento intervalado de alta intensidade"", ""circuit training"", ""exercícios intervalados de alta intensidade"", ""corrida intensa"", ""basquete"", ""futebol"", ""vôlei"" ], ""ambiente_frio_ou_seco"": [ ""ciclismo em baixa temperatura"", ""caminhada em subida no frio"", ""corrida ao ar livre em tempo frio"" ], ""respiracao_acelerada"": [ ""aeróbica de alta intensidade"", ""natação intensa sem pausas"", ""dança de alta intensidade"" ], ""controle_respiratorio_extremo"": [ ""técnica Buteyko"", ""exercícios respiratórios com apneia prolongada"" ] }","{ ""levantamento_pesado"": [ ""levantamento de peso"", ""levantamento terra"", ""supino"", ""máquinas de musculação"" ] }"
31,osteoartrite,"{ ""impacto_alto"": [ ""levantamento de peso"", ""musculação"", ""máquinas de musculação"" ], ""impacto_articulacoes"": [ ""agachamento"", ""subir escadas"", ""subir e descer escadas"", ""subir e descer degraus"" ], ""movimentos_bruscos"": [ ""flexão de joelho"", ""flexão de joelhos"", ""flexão de quadril"", ""flexão de tronco"", ""flexões laterais"" ], ""exigencia_equilibrio"": [ ""equilíbrio em uma perna"", ""equilíbrio em um pé"", ""ficar em pé em um pé só"", ""ficar em uma perna"" ], ""risco_hiperextensao"": [ ""extensão de joelho"", ""extensão de pernas"" ] }","{ ""atividades_moderadas"": [ ""musculação"", ""yoga"", ""pilates"" ] }"
